Bibliotecas;Tipo;Título;Autor;Edição;Ano;Acesso Eletrônico
Biblioteca Central;Folheto;Sistema Bibliodata / Calco; ; ;1982; 
Biblioteca Central;Livro;Direito tributário : três modos de pensar a tributação : elementos para uma teoria sistemática do direito tributário;Caliendo, Paulo; ;2009; 
Biblioteca Central;Livro;Teoria de las estructuras;Timoshenko, S. P;2.ed. -;1974; 
Biblioteca Central;Livro;Aguas subterraneas: contaminacion urbana, industrial y agricola;Martin, J. Porras; ;1979; 
Sala Verde;Livro;O homem no vale do São Francisco;Pierson, Donald; ;1972; 
Biblioteca Central;Livro;Curso de filosofia;Carosi, Paulo; ;1963; 
Biblioteca Central;Livro;Ensaios alternativos latino-americanos de educação física, esportes e saúde; ; ;2010; 
Biblioteca Central;Livro;O melhor do mau humor : uma antologia de citações venenosas; ; ;1993; 
Biblioteca Central;Folheto;Saiba mais sobre : fobia social ou transtorno de ansiedade social;LIBBS; ;1999; 
Repositório Institucional;Artigo;Validade de um monitor digital de pulso para mensuração de pressão arterial em comparação com um esfigmomanômetro de mercúrio;Araújo, Cora Luiza Pavin Caruso, Paulo Dumith, Samuel de Carvalho Duval, Marta Hallal, Pedro Rodrigues Curi Mendonça, Fernanda Ciandrini de Menezes, Ana Maria Baptista Noal, Ricardo Bica Nunes, Ana Paula; ;2010;  
Biblioteca Central;Livro;Os invertebrados : uma nova síntese;Barnes, R.S.K; ;1995; 
Biblioteca Central;Livro;Os invertebrados : uma síntese; ;2. ed. -;2008; 
Biblioteca Central;Livro;The invertebrates : a new synthesis;Barnes, R.S.K;2.ed. -;1993; 
Sala Verde;Livro;Frutas comestiveis da Amazonia;Cavalcante, Paulo B;4.ed.rev.ampl. -;1988; 
Biblioteca Central;Livro;Ilustradores no Boletim Técnico do SENAC; ; ;1999; 
Biblioteca Central;Livro;Por que ler os clássicos;Calvino, Italo; ;1998; 
Biblioteca Central;Livro;As cidades invisíveis;Calvino, Italo; ;2003; 
Biblioteca Central;Livro;Juventude e ensino médio : sujeitos e currículos em diálogo; ; ;2014; 
Biblioteca Central;Livro;Um general na biblioteca;Calvino, Italo;2. ed. -;2007; 
Biblioteca Central;Livro;Contos fantasticos do seculo XIX : o fantastico visionario e o fantastico cotidiano; ; ;2004; 
Biblioteca Central;Livro;Juventude e contemporaneidade; ; ;2007; 
Biblioteca Central;Livro;As cidades invisíveis;Calvino, Italo;2. ed. -;2002; 
Biblioteca Central;Livro;Cândido, ou o otimismo;Voltaire;1. ed. -;2013; 
Biblioteca Central;Audiolivro;Por que ler os clássicos;Calvino, Italo; ;2021; 
Saúde;Livro;Recurso de relacionamento para profissionais de saude;Maldonado, Maria Tereza; ;2003; 
Biblioteca Central;Livro;Fadiga de estruturas soldadas;Branco, C. Moura;2.ed. -;1999; 
Biblioteca Central;livro;;;;;
Livro;Odisseia;Homero;3. ed. -;2014;2014;
Biblioteca Central;Livro;Odisseia;Homero;2. ed. -;2012; 
Biblioteca Central;Livro;Operaciones basicas de la ingenieria quimica; ; ;1955; 
Biblioteca Central;Livro;Curso geral de química;Puig, Ignacio;4.ed. -;1945; 
